state_fk,market_fk,time_fk,p10,p50,p90
TX,Dallas / Houston,2024-10-15,7046.512499700253,10094.468839252733,13829.210353580009
TX,Dallas / Houston,2024-10-16,1811.2663772086369,4408.6808571816455,8638.313498240377
TX,Dallas / Houston,2024-10-17,2923.1926897740304,5787.488033607985,10332.585532435403
TX,Dallas / Houston,2024-10-18,4742.753016092936,7048.375346973858,10320.383423623856
TX,Dallas / Houston,2024-10-19,2792.750074474984,5854.449279093593,10882.237073508217
TX,Dallas / Houston,2024-10-20,4808.789626446743,7001.276847288772,11772.82781208106
TX,Dallas / Houston,2024-10-21,1986.2098860569731,4659.078141163975,8444.504374389047
TX,Dallas / Houston,2024-10-22,2493.240419695881,4744.695143102575,8139.525927608391
TX,Dallas / Houston,2024-10-23,4511.659731391518,6386.606682429426,11634.721045391694
TX,Dallas / Houston,2024-10-24,4254.028219155558,6871.440139636571,11372.747473833937
TX,Dallas / Houston,2024-10-25,10080.377508308975,12078.27381125328,15668.215304325307
TX,Dallas / Houston,2024-10-26,10624.378868108563,12721.125445390664,15186.469149029655
TX,Dallas / Houston,2024-10-27,1631.6707079912662,4193.32810216981,8685.86746231365
TX,Dallas / Houston,2024-10-28,11159.604334507625,13042.336943659162,16165.01234181256
TX,Dallas / Houston,2024-10-29,1199.536952430225,3929.9369464955566,7769.141029228613
TX,Dallas / Houston,2024-10-30,4446.83675023863,6888.502017224143,12033.482527975882
TX,Dallas / Houston,2024-10-31,2974.3438032328827,4709.881720661695,8829.634977163527
TX,Dallas / Houston,2024-11-01,5110.804215913779,7649.865929649354,11125.721086643687
TX,Dallas / Houston,2024-11-02,6071.098532915031,8003.838651067978,10897.543954095683
TX,Dallas / Houston,2024-11-03,3504.638744797932,5638.331598910587,10050.40438261872
TX,Dallas / Houston,2024-11-04,1513.7628636176591,3857.6702946641153,9715.736131538122
TX,Dallas / Houston,2024-11-05,9194.52483690643,13900.601161289842,16412.869157135276
TX,Dallas / Houston,2024-11-06,6125.452520235411,7451.181864765527,12369.757249761838
TX,Dallas / Houston,2024-11-07,4894.507266602555,7531.508813211404,12083.017517459784
TX,Dallas / Houston,2024-11-08,1648.4659492039727,4295.520679973514,9362.643189881768
TX,Dallas / Houston,2024-11-09,10046.90871204086,13155.449608220393,16145.260548477125
TX,Dallas / Houston,2024-11-10,4729.728044887673,6360.118246600222,11253.287642386853
TX,Dallas / Houston,2024-11-11,1917.8274311704824,5070.104004169484,8699.672161976288
TX,Dallas / Houston,2024-11-12,5649.086797818685,8845.212282932676,11997.838459303619
